id,value
Animalia,NA
Animalia.Chordata,NA
Animalia.Chordata.Artiodactyla,NA
Animalia.Chordata.Carnivora,NA
Animalia.Chordata.Cetacea,NA
Animalia.Chordata.Chiroptera,NA
Animalia.Chordata.Cingulata,NA
Animalia.Chordata.Dasyuromorphia,NA
Animalia.Chordata.Dermoptera,NA
Animalia.Chordata.Didelphimorphia,NA
Animalia.Chordata.Diprotodontia,NA
Animalia.Chordata.Erinaceomorpha,NA
Animalia.Chordata.Hyracoidea,NA
Animalia.Chordata.Lagomorpha,NA
Animalia.Chordata.Monotremata,NA
Animalia.Chordata.Peramelemorphia,NA
Animalia.Chordata.Perissodactyla,NA
Animalia.Chordata.Pilosa,NA
Animalia.Chordata.Primates,NA
Animalia.Chordata.Proboscidea,NA
Animalia.Chordata.Rodentia,NA
Animalia.Chordata.Sirenia,NA
Animalia.Chordata.Soricomorpha,NA
Animalia.Chordata.Artiodactyla.Bovidae,14
Animalia.Chordata.Artiodactyla.Cervidae,221
Animalia.Chordata.Artiodactyla.Hippopotamidae,2
Animalia.Chordata.Artiodactyla.Suidae,16
Animalia.Chordata.Artiodactyla.Tayassuidae,1
Animalia.Chordata.Carnivora.Canidae,61
Animalia.Chordata.Carnivora.Felidae,37
Animalia.Chordata.Carnivora.Herpestidae,1
Animalia.Chordata.Carnivora.Hyaenidae,1
Animalia.Chordata.Carnivora.Mephitidae,1
Animalia.Chordata.Carnivora.Mustelidae,52
Animalia.Chordata.Carnivora.Odobenidae,1
Animalia.Chordata.Carnivora.Otariidae,2
Animalia.Chordata.Carnivora.Phocidae,46
Animalia.Chordata.Carnivora.Procyonidae,12
Animalia.Chordata.Carnivora.Ursidae,1
Animalia.Chordata.Carnivora.Viverridae,2
Animalia.Chordata.Cetacea.Balaenopteridae,1
Animalia.Chordata.Cetacea.Delphinidae,2
Animalia.Chordata.Cetacea.Phocoenidae,6
Animalia.Chordata.Chiroptera.Miniopteridae,1
Animalia.Chordata.Chiroptera.Molossidae,1
Animalia.Chordata.Chiroptera.Pteropodidae,2
Animalia.Chordata.Chiroptera.Rhinolophidae,2
Animalia.Chordata.Chiroptera.Vespertilionidae,14
Animalia.Chordata.Cingulata.Dasypodidae,4
Animalia.Chordata.Dasyuromorphia.Dasyuridae,4
Animalia.Chordata.Dermoptera.Cynocephalidae,1
Animalia.Chordata.Didelphimorphia.Didelphidae,5
Animalia.Chordata.Diprotodontia.Macropodidae,19
Animalia.Chordata.Diprotodontia.Petauridae,9
Animalia.Chordata.Diprotodontia.Phalangeridae,11
Animalia.Chordata.Diprotodontia.Phascolarctidae,6
Animalia.Chordata.Diprotodontia.Potoroidae,1
Animalia.Chordata.Diprotodontia.Pseudocheiridae,8
Animalia.Chordata.Diprotodontia.Vombatidae,7
Animalia.Chordata.Erinaceomorpha.Erinaceidae,4
Animalia.Chordata.Hyracoidea.Procaviidae,1
Animalia.Chordata.Lagomorpha.Leporidae,102
Animalia.Chordata.Monotremata.Tachyglossidae,2
Animalia.Chordata.Peramelemorphia.Peramelidae,1
Animalia.Chordata.Perissodactyla.Equidae,3
Animalia.Chordata.Perissodactyla.Rhinocerotidae,1
Animalia.Chordata.Perissodactyla.Tapiridae,3
Animalia.Chordata.Pilosa.Myrmecophagidae,1
Animalia.Chordata.Primates.Atelidae,1
Animalia.Chordata.Primates.Callitrichidae,1
Animalia.Chordata.Primates.Cebidae,2
Animalia.Chordata.Primates.Cercopithecidae,6
Animalia.Chordata.Primates.Indriidae,1
Animalia.Chordata.Proboscidea.Gomphotheriidae,1
Animalia.Chordata.Rodentia.Castoridae,19
Animalia.Chordata.Rodentia.Cricetidae,11
Animalia.Chordata.Rodentia.Cuniculidae,2
Animalia.Chordata.Rodentia.Dasyproctidae,8
Animalia.Chordata.Rodentia.Erethizontidae,1
Animalia.Chordata.Rodentia.Geomyidae,1
Animalia.Chordata.Rodentia.Heteromyidae,2
Animalia.Chordata.Rodentia.Muridae,21
Animalia.Chordata.Rodentia.Myocastoridae,5
Animalia.Chordata.Rodentia.Sciuridae,198
Animalia.Chordata.Sirenia.Trichechidae,2
Animalia.Chordata.Soricomorpha.Soricidae,4
Animalia.Chordata.Soricomorpha.Talpidae,17
