"","id","value"
"1","Animalia",NA
"2","Animalia.Chordata",NA
"3","Animalia.Chordata.Artiodactyla",NA
"4","Animalia.Chordata.Carnivora",NA
"5","Animalia.Chordata.Cetacea",NA
"6","Animalia.Chordata.Chiroptera",NA
"7","Animalia.Chordata.Cingulata",NA
"8","Animalia.Chordata.Dasyuromorphia",NA
"9","Animalia.Chordata.Dermoptera",NA
"10","Animalia.Chordata.Didelphimorphia",NA
"11","Animalia.Chordata.Diprotodontia",NA
"12","Animalia.Chordata.Erinaceomorpha",NA
"13","Animalia.Chordata.Hyracoidea",NA
"14","Animalia.Chordata.Lagomorpha",NA
"15","Animalia.Chordata.Monotremata",NA
"16","Animalia.Chordata.Peramelemorphia",NA
"17","Animalia.Chordata.Perissodactyla",NA
"18","Animalia.Chordata.Pilosa",NA
"19","Animalia.Chordata.Primates",NA
"20","Animalia.Chordata.Proboscidea",NA
"21","Animalia.Chordata.Rodentia",NA
"22","Animalia.Chordata.Sirenia",NA
"23","Animalia.Chordata.Soricomorpha",NA
"24","Animalia.Chordata.Artiodactyla.Bovidae",14
"25","Animalia.Chordata.Artiodactyla.Cervidae",221
"26","Animalia.Chordata.Artiodactyla.Hippopotamidae",2
"27","Animalia.Chordata.Artiodactyla.Suidae",16
"28","Animalia.Chordata.Artiodactyla.Tayassuidae",1
"29","Animalia.Chordata.Carnivora.Canidae",61
"30","Animalia.Chordata.Carnivora.Felidae",37
"31","Animalia.Chordata.Carnivora.Herpestidae",1
"32","Animalia.Chordata.Carnivora.Hyaenidae",1
"33","Animalia.Chordata.Carnivora.Mephitidae",1
"34","Animalia.Chordata.Carnivora.Mustelidae",52
"35","Animalia.Chordata.Carnivora.Odobenidae",1
"36","Animalia.Chordata.Carnivora.Otariidae",2
"37","Animalia.Chordata.Carnivora.Phocidae",46
"38","Animalia.Chordata.Carnivora.Procyonidae",12
"39","Animalia.Chordata.Carnivora.Ursidae",1
"40","Animalia.Chordata.Carnivora.Viverridae",2
"41","Animalia.Chordata.Cetacea.Balaenopteridae",1
"42","Animalia.Chordata.Cetacea.Delphinidae",2
"43","Animalia.Chordata.Cetacea.Phocoenidae",6
"44","Animalia.Chordata.Chiroptera.Miniopteridae",1
"45","Animalia.Chordata.Chiroptera.Molossidae",1
"46","Animalia.Chordata.Chiroptera.Pteropodidae",2
"47","Animalia.Chordata.Chiroptera.Rhinolophidae",2
"48","Animalia.Chordata.Chiroptera.Vespertilionidae",14
"49","Animalia.Chordata.Cingulata.Dasypodidae",4
"50","Animalia.Chordata.Dasyuromorphia.Dasyuridae",4
"51","Animalia.Chordata.Dermoptera.Cynocephalidae",1
"52","Animalia.Chordata.Didelphimorphia.Didelphidae",5
"53","Animalia.Chordata.Diprotodontia.Macropodidae",19
"54","Animalia.Chordata.Diprotodontia.Petauridae",9
"55","Animalia.Chordata.Diprotodontia.Phalangeridae",11
"56","Animalia.Chordata.Diprotodontia.Phascolarctidae",6
"57","Animalia.Chordata.Diprotodontia.Potoroidae",1
"58","Animalia.Chordata.Diprotodontia.Pseudocheiridae",8
"59","Animalia.Chordata.Diprotodontia.Vombatidae",7
"60","Animalia.Chordata.Erinaceomorpha.Erinaceidae",4
"61","Animalia.Chordata.Hyracoidea.Procaviidae",1
"62","Animalia.Chordata.Lagomorpha.Leporidae",102
"63","Animalia.Chordata.Monotremata.Tachyglossidae",2
"64","Animalia.Chordata.Peramelemorphia.Peramelidae",1
"65","Animalia.Chordata.Perissodactyla.Equidae",3
"66","Animalia.Chordata.Perissodactyla.Rhinocerotidae",1
"67","Animalia.Chordata.Perissodactyla.Tapiridae",3
"68","Animalia.Chordata.Pilosa.Myrmecophagidae",1
"69","Animalia.Chordata.Primates.Atelidae",1
"70","Animalia.Chordata.Primates.Callitrichidae",1
"71","Animalia.Chordata.Primates.Cebidae",2
"72","Animalia.Chordata.Primates.Cercopithecidae",6
"73","Animalia.Chordata.Primates.Indriidae",1
"74","Animalia.Chordata.Proboscidea.Gomphotheriidae",1
"75","Animalia.Chordata.Rodentia.Castoridae",19
"76","Animalia.Chordata.Rodentia.Cricetidae",11
"77","Animalia.Chordata.Rodentia.Cuniculidae",2
"78","Animalia.Chordata.Rodentia.Dasyproctidae",8
"79","Animalia.Chordata.Rodentia.Erethizontidae",1
"80","Animalia.Chordata.Rodentia.Geomyidae",1
"81","Animalia.Chordata.Rodentia.Heteromyidae",2
"82","Animalia.Chordata.Rodentia.Muridae",21
"83","Animalia.Chordata.Rodentia.Myocastoridae",5
"84","Animalia.Chordata.Rodentia.Sciuridae",198
"85","Animalia.Chordata.Sirenia.Trichechidae",2
"86","Animalia.Chordata.Soricomorpha.Soricidae",4
"87","Animalia.Chordata.Soricomorpha.Talpidae",17
